"filename", "language", "C#", "XML", "JSON", "comment", "blank", "total"
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Context\AppDbContext.cs", "C#", 62, 0, 0, 0, 9, 71
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Context\DbInitializer.cs", "C#", 112, 0, 0, 3, 17, 132
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\DTO\Catrgory\CategoryDTO.cs", "C#", 7, 0, 0, 0, 1, 8
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\DTO\Client\ClientDTO.cs", "C#", 10, 0, 0, 0, 1, 11
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\DTO\Client\NewClientDTO.cs", "C#", 11, 0, 0, 0, 2, 13
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\DTO\Order\CreateOrderDTO.cs", "C#", 13, 0, 0, 0, 2, 15
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\DTO\Order\OrderProductDTO.cs", "C#", 11, 0, 0, 0, 1, 12
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\DTO\Order\UpdateOrderStatusDTO.cs", "C#", 7, 0, 0, 0, 1, 8
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\DTO\Products\AddProductToOrderDTO.cs", "C#", 8, 0, 0, 0, 1, 9
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\DTO\Products\ProductDto.cs", "C#", 10, 0, 0, 0, 1, 11
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\DTO\User\LoginDTO.cs", "C#", 8, 0, 0, 0, 1, 9
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\DTO\User\RegisterDTO.cs", "C#", 10, 0, 0, 0, 1, 11
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\DTO\User\UpdateUserDTO.cs", "C#", 12, 0, 0, 0, 1, 13
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\DashboardMain\Categories\CategoriesEndpoints.cs", "C#", 32, 0, 0, 2, 4, 38
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\DashboardMain\Clients\ClientsEndpoints.cs", "C#", 145, 0, 0, 5, 19, 169
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\DashboardMain\DashboardEndpoints.cs", "C#", 15, 0, 0, 5, 8, 28
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\DashboardMain\MiniStatistics\MiniStatsEndpoints.cs", "C#", 180, 0, 0, 12, 28, 220
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\DashboardMain\Orders\OrdersEndpoints.cs", "C#", 294, 0, 0, 31, 58, 383
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\DashboardMain\Products\ProductsEndpoints.cs", "C#", 119, 0, 0, 6, 18, 143
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Helper\JwtHelper.cs", "C#", 27, 0, 0, 0, 4, 31
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Migrations\20250408150001_createDB.Designer.cs", "C#", 171, 0, 0, 2, 62, 235
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Migrations\20250408150001_createDB.cs", "C#", 144, 0, 0, 3, 16, 163
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Migrations\20250409132421_userTable.Designer.cs", "C#", 192, 0, 0, 2, 70, 264
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Migrations\20250409132421_userTable.cs", "C#", 32, 0, 0, 3, 4, 39
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Migrations\20250410130544_ss.Designer.cs", "C#", 190, 0, 0, 2, 69, 261
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Migrations\20250410130544_ss.cs", "C#", 23, 0, 0, 3, 4, 30
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Migrations\20250411145106_totalPrice.Designer.cs", "C#", 188, 0, 0, 2, 68, 258
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Migrations\20250411145106_totalPrice.cs", "C#", 23, 0, 0, 3, 4, 30
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Migrations\20250411145828_total.Designer.cs", "C#", 190, 0, 0, 2, 69, 261
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Migrations\20250411145828_total.cs", "C#", 23, 0, 0, 3, 4, 30
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Migrations\20250411155329_cashbak.Designer.cs", "C#", 192, 0, 0, 2, 70, 264
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Migrations\20250411155329_cashbak.cs", "C#", 23, 0, 0, 3, 4, 30
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Migrations\20250412200440_updateFk.Designer.cs", "C#", 208, 0, 0, 2, 75, 285
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Migrations\20250412200440_updateFk.cs", "C#", 40, 0, 0, 3, 8, 51
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Migrations\20250416162810_cashbackPercent.Designer.cs", "C#", 210, 0, 0, 2, 76, 288
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Migrations\20250416162810_cashbackPercent.cs", "C#", 23, 0, 0, 3, 4, 30
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Migrations\20250416200109_nusad.Designer.cs", "C#", 210, 0, 0, 2, 76, 288
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Migrations\20250416200109_nusad.cs", "C#", 14, 0, 0, 3, 6, 23
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Migrations\AppDbContextModelSnapshot.cs", "C#", 208, 0, 0, 1, 76, 285
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Models\Client.cs", "C#", 15, 0, 0, 1, 3, 19
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Models\Order.cs", "C#", 23, 0, 0, 1, 7, 31
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Models\OrderProduct.cs", "C#", 14, 0, 0, 1, 4, 19
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Models\Product.cs", "C#", 13, 0, 0, 0, 1, 14
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Models\ProductCategory.cs", "C#", 9, 0, 0, 0, 2, 11
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Models\User.cs", "C#", 13, 0, 0, 1, 5, 19
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\OrdersUsersApi.csproj", "XML", 0, 21, 0, 0, 4, 25
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Program.cs", "C#", 26, 0, 0, 0, 3, 29
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\Properties\launchSettings.json", "JSON", 0, 0, 41, 0, 1, 42
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\ServerConfig\AppBuilderExtensions.cs", "C#", 23, 0, 0, 0, 5, 28
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\ServerConfig\DbInitializerExtension.cs", "C#", 15, 0, 0, 0, 2, 17
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\ServerConfig\ServiceExtensions.cs", "C#", 47, 0, 0, 0, 6, 53
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\UserEndpoints\UserEndpoints.cs", "C#", 104, 0, 0, 21, 22, 147
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\appsettings.Development.json", "JSON", 0, 0, 8, 0, 1, 9
"c:\Users\юзер\Web-application-for-sales-accounting-1\Serv\Server\OrdersUsersApI\appsettings.json", "JSON", 0, 0, 17, 0, 3, 20
"Total", "-", 3699, 21, 66, 135, 1012, 4933
